0,0,2,Leer,tab/espacio,
0,1,10,Leer,>,
0,2,15,a0_2, ',
0,3,0,a0_3,l,
0,4,1,a0_4,d,
0,5,6,Leer,*,
0,6,13,Leer,{,
0,7,9,Leer,<,
0,8,17,Leer,:,
0,888,4,a0_100,+,
0,888,5,a0_101,-,
0,888,7,a0_102,/,
0,888,8,a0_103,=,
0,888,11,a0_104,(,
0,888,12,a0_105,),
0,888,16,a0_106,;,
0,888,18,a0_107,",",
0,888,19,a0_108,EOF,
0,888,20,eLex0_ERROR_OC,o.c,
0,888,14,eLex0_CIERRE_COMENTARIO_ILEGAL,},
0,9,3,eol,/n,
0,10,21,eol,/r,
1,888,8,a1_11,=,
1,888,20,a1_12,o.c,
2,2,20,a2_2,o.c,
2,888,15,a2_21, ',
2,0,3,eLex2_ERROR_SALTO_LINEA,/n,/// MODIFICAR ACCION SEMANTICA
2,0,21,eLex2_ERROR_SALTO_LINEA,/r,
2,888,19,eLex2_ERROR_CADENA_INCOMPLETA,,
3,3,0,a3_3,l,
3,3,1,a3_3,d,
3,888,20,a3_31,o.c,
4,4,1,a4_4,d,
4,888,20,a4_41,o.c,
5,888,6,a5_51,*,
5,888,20,a5_52,o.c,
6,6,20,Leer,o.c,
6,0,14,Leer,},
6,888,19,eLex6_ERROR_COMENTARIO_NO_CERRADO,,
6,11,3,eol,/n,
6,12,21,eol,/r,
7,888,8,a7_73,=,
7,888,10,a7_72,>,
7,888,20,a7_71,o.c,
8,888,8,a8_82,=,
8,888,20,a8_81,o.c,
9,0,20,none,o.c,
9,0,21,Leer,/r,
10,0,3,Leer,/n,
10,0,20,none,/r,
11,6,20,none,o.c,
11,6,21,Leer,/r,
12,6,20,none,o.c,
12,6,3,Leer,/n,
